a_0,翔安王街x座 420514,s_160127
a_248,海陵廖路R座 887889,s_570241
a_249,兴山何路k座 140599,s_26954
a_250,秀英佛山路k座 563293,s_539895
a_251,沙湾郑州路u座 646474,s_666345
a_252,怀柔刘街w座 876639,s_616040
a_253,长寿杜街C座 999474,s_239539
a_254,城北田路h座 946143,s_323402
a_255,清河王街L座 935699,s_308503
a_256,大兴张街G座 715166,s_461170
a_257,东城西安街z座 765167,s_659379
a_258,海陵东莞街l座 475491,s_171623
a_259,大兴张街Q座 269267,s_550837
a_260,翔安柳路Q座 703147,s_79605
a_261,高坪倪街J座 696682,s_607723
a_262,永川荆门街s座 230590,s_51791
a_263,安次任路l座 485427,s_621411
a_264,大东蒋路O座 903333,s_28426
a_265,沈阳路c座 468207,s_381012
a_266,滨城沈街B座 733647,s_159578
a_267,高坪乌鲁木齐街x座 308646,s_445291
a_268,涪城孟街B座 957884,s_316122
a_269,山亭巢湖街j座 472788,s_170631
a_270,沈河拉萨街v座 623685,s_405857
a_271,花溪王路A座 124649,s_459174
a_272,沈北新重庆路i座 254829,s_131682
a_273,牧野张路p座 235529,s_134151
a_274,长寿刘路S座 281659,s_377840
a_275,白云黄街Q座 927282,s_93176
a_276,涪城济南路d座 531153,s_561552
a_277,友好王街l座 804000,s_613526
a_278,南溪合山街G座 181987,s_640809
a_279,清浦贵阳路r座 675949,s_666164
a_280,东丽天津街z座 171730,s_105228
a_281,清城太原路J座 965372,s_145794
a_282,上街陈街Y座 129352,s_464396
a_283,崇文兴安盟路P座 288886,s_225775
a_284,平山张路x座 536958,s_121883
a_285,孝南王路Y座 809670,s_491570
a_286,吉区关岭路g座 949290,s_143174
a_287,门头沟李路e座 598371,s_446857
a_288,孝南上海路E座 525395,s_306362
a_289,海陵张路z座 787387,s_450723
a_290,徐汇南宁路y座 889979,s_36421
a_291,房山梧州路L座 655421,s_183399
a_292,西峰孔路M座 722421,s_128519
a_293,永川张街t座 823540,s_59070
a_294,永川合山街m座 148953,s_353931
a_295,安次潜江街o座 763443,s_317839
a_296,南溪宜都街e座 309247,s_491017
a_297,平山温街u座 329590,s_325497
a_298,闵行南昌街l座 423457,s_211141
a_299,翔安兴城路Q座 237043,s_147883
a_300,房山曾街u座 333569,s_232666
a_301,吉区崔街A座 878786,s_347273
a_302,长寿长春街F座 804739,s_495309
a_303,滨城南宁街C座 997078,s_565614
a_304,沙湾帅路o座 617872,s_71451
a_305,江北张路j座 427981,s_342802
a_306,浔阳关岭街I座 228360,s_318269
a_307,崇文林路x座 886973,s_163497
a_308,平山张街f座 527222,s_388593
a_309,安次长春路e座 446410,s_440600
a_310,白云阎街F座 234773,s_648692
a_311,江北王街Q座 636853,s_591979
a_312,闵行何路k座 168390,s_33859
a_313,城北哈尔滨路f座 940629,s_615608
a_314,高明苏街K座 670749,s_16312
a_315,南长汕尾路Q座 714347,s_107016
a_316,沈北新钟街h座 287188,s_12991
a_317,和平李街R座 602074,s_521332
a_318,大东张街j座 776608,s_480079
a_319,城北上海路r座 828564,s_126317
a_320,大东李街S座 313217,s_212937
a_321,沈北新广州路c座 386308,s_125721
a_322,上街张路b座 659640,s_618408
a_323,南长张街i座 143062,s_487250
a_324,闵行长春街F座 293193,s_128161
a_325,高坪林路j座 190675,s_225190
a_326,锡山温街p座 375360,s_616350
a_327,海陵澳门街D座 200797,s_264843
a_328,吉区乌鲁木齐路V座 521295,s_458633
a_329,徐汇赵路P座 318113,s_505116
a_330,长寿李街m座 668268,s_230371
a_331,友好福州路j座 905805,s_1956
a_332,浔阳贾路a座 917082,s_220108
a_333,西夏拉萨路y座 748763,s_401866
a_334,丰都周街K座 931555,s_651241
a_335,滨城王路p座 651490,s_160531
a_336,江北寇街l座 920174,s_398336
a_337,沙湾辽阳路E座 444661,s_564186
a_338,海港杨街W座 968138,s_18707
a_339,清城朱街I座 272509,s_587780
a_340,江北叶街x座 723240,s_611373
a_341,兴山东莞街b座 482237,s_290525
a_342,海港合肥街d座 471643,s_537720
a_343,长寿李路P座 483425,s_428089
a_344,牧野张家港路l座 675468,s_226453
a_345,城东贵阳街O座 110567,s_345635
a_346,高坪巢湖街I座 556412,s_537549
a_347,魏都齐齐哈尔街D座 971149,s_233015
a_348,东丽太原街r座 723979,s_609691
a_349,东丽成都街R座 184630,s_496521
a_350,萧山张家港街H座 915901,s_497330
a_351,江北通辽街I座 676146,s_440275
a_352,普陀武街f座 706352,s_94874
a_353,吉区阜新路K座 196520,s_589230
a_354,合川袁路f座 623865,s_154822
a_355,大东呼和浩特路S座 380100,s_211620
a_356,城北孙路P座 643694,s_205533
a_357,六枝特武汉街S座 496924,s_46019
a_358,闵行杨路F座 355235,s_12429
a_359,西夏南宁路A座 867053,s_256717
a_360,孝南佛山路d座 338600,s_438970
a_361,沈北新南京街Y座 526609,s_625736
a_362,海陵罗街q座 813191,s_342711
a_363,涪城吴街I座 654575,s_306668
a_364,梁平王街N座 603689,s_546246
a_365,魏都嘉禾路E座 350503,s_168232
a_366,璧山徐街y座 780980,s_517656
a_367,丰都官街k座 843376,s_80188
a_368,锡山萧路V座 104742,s_601743
a_369,孝南廖路Y座 734055,s_521805
a_370,浔阳左路m座 217716,s_338480
a_371,静安罗街u座 663613,s_379038
a_372,滨城南宁街I座 477080,s_88136
a_373,滨城沈阳路h座 160712,s_395322
a_374,翔安刘路o座 508412,s_542732
a_375,白云李路S座 735016,s_414884
a_376,永川南宁路x座 468120,s_155635
a_377,沈河香港路K座 246230,s_340603
a_378,涪城武汉路j座 254466,s_446299
a_379,淄川王街i座 173502,s_274110
a_380,普陀郑州街N座 139926,s_298063
a_381,朝阳海口路G座 417943,s_183571
a_382,永川陈路V座 141224,s_412822
a_383,花溪张路N座 526831,s_437364
a_384,永川沈阳街T座 141441,s_261528
a_385,六枝特嘉禾路f座 698593,s_377975
a_386,南湖巢湖街g座 277304,s_431129
a_387,滨城张家港路j座 481006,s_437642
a_388,璧山陈路v座 174264,s_429609
a_389,沙湾郑路Z座 538220,s_524407
a_390,璧山兴安盟路z座 335734,s_386497
a_391,平山赵街N座 716860,s_280580
a_392,龙潭张街t座 172383,s_187089
a_393,永川顾街W座 351416,s_495769
a_394,秀英福州街G座 495385,s_10736
a_395,大东永安街k座 236014,s_501750
a_396,怀柔吴街Y座 154973,s_401613
a_397,白云北京街i座 298992,s_578718
a_398,高明周街S座 392123,s_77364
a_399,门头沟黄街c座 667922,s_649470
a_400,沙湾张街e座 100386,s_75069
a_401,蓟州秦街l座 517934,s_104520
a_402,沙湾辽阳街P座 396018,s_75488
a_403,黄浦袁路X座 183235,s_397404
a_404,浔阳沈阳街l座 984767,s_8161
a_405,新城刘街K座 158284,s_554875
a_406,浔阳苏街G座 281145,s_657862
a_407,清浦古街y座 582851,s_44344
a_408,吉区张路t座 368364,s_445338
a_409,滨城惠州街R座 947691,s_21157
a_410,兴山王路F座 408830,s_400019
a_411,安次王街R座 796290,s_53573
a_412,兴山南宁街j座 462468,s_164932
a_413,清河乌鲁木齐街O座 180773,s_208427
a_414,丰都成都街G座 724205,s_51097
a_415,高明郑州路b座 849188,s_45862
a_416,东丽荆门路z座 554812,s_554976
a_417,滨城黄路d座 388788,s_490495
a_418,徐汇赵路P座 666998,s_613739
a_419,怀柔柳州路m座 714723,s_547267
a_420,浔阳陈路u座 332400,s_221846
a_421,平山温路O座 182902,s_98837
a_422,华龙北京街i座 516042,s_473760
a_423,永川杨街E座 914750,s_504117
a_424,西夏荆门路c座 894193,s_573611
a_425,大兴徐街U座 517282,s_106123
a_426,南溪李街r座 460955,s_231477
a_427,涪城拉萨路c座 702558,s_654222
a_428,友好北镇街c座 339730,s_526890
a_429,龙潭南宁街H座 420875,s_571743
a_430,清城北镇街b座 689237,s_527193
a_431,魏都潘街n座 429861,s_326582
a_432,南湖张街n座 831019,s_104567
a_433,兴山兴安盟街J座 953282,s_113798
a_434,六枝特卢街f座 391930,s_110807
a_435,南溪黄路v座 604262,s_420745
a_436,白云贵阳街T座 302613,s_15705
a_437,牧野石家庄路d座 456989,s_336654
a_438,南长贵阳路k座 606489,s_563882
a_439,合川吴路X座 749788,s_29456
a_440,浔阳陈街X座 794985,s_129130
a_441,璧山长春路c座 242671,s_310955
a_442,华龙赵路U座 602412,s_430840
a_443,翔安冯路a座 346196,s_557137
a_444,友好朱街p座 668924,s_280292
a_445,东城沈阳街n座 921876,s_537812
a_446,白云朱路t座 600939,s_394062
a_447,金平贵阳街W座 297447,s_179674
a_448,房山阜新路H座 898361,s_166831
a_449,大东郑街N座 524863,s_490231
a_450,江北魏街L座 853144,s_644899
a_451,清浦辛街e座 519766,s_272653
a_452,永川郑州路N座 794468,s_44989
a_453,淄川汕尾路e座 944002,s_442378
a_454,城东陈街b座 992607,s_405028
a_455,南湖北京街d座 130400,s_146356
a_456,清河李街l座 771599,s_338672
a_457,沈北新庞街I座 334330,s_276608
a_458,普陀潜江路P座 210730,s_243686
a_459,花溪袁街v座 747488,s_152714
a_460,清城合肥街o座 615966,s_69745
a_461,锡山昆明街E座 700023,s_191432
a_462,静安石家庄路b座 842889,s_317813
a_463,平山郑路D座 236178,s_224413
a_464,兴山路路j座 646359,s_343584
a_465,魏都殷路h座 818285,s_267354
a_466,高港赵街k座 817559,s_82586
a_467,怀柔龚路K座 726088,s_195036
a_468,黄浦赵路P座 432969,s_525997
a_469,永川西宁街c座 467770,s_389396
a_470,璧山西宁路x座 417983,s_269874
a_471,璧山马路P座 333861,s_117627
a_472,怀柔兰街I座 194209,s_655124
a_473,静安李街t座 780400,s_235528
a_474,门头沟上海街v座 679208,s_442859
a_475,沙湾任街g座 340526,s_4952
a_476,锡山海口路I座 626754,s_640624
a_477,锡山辛集街Q座 750868,s_640151
a_478,璧山马路V座 632273,s_14359
a_479,永川吴街Q座 636672,s_184840
a_480,沈河南昌路t座 796034,s_477615
a_481,清河叶路U座 246544,s_607940
a_482,清城深圳街r座 793448,s_469207
a_483,东丽郑州街I座 121787,s_388775
a_484,怀柔陈路f座 211459,s_187882
a_485,城北辛集路r座 433940,s_661351
a_486,长寿董路y座 775486,s_409415
a_487,和平丁街M座 367232,s_32948
a_488,西夏柳州街r座 818120,s_556924
a_489,六枝特文街F座 288242,s_235152
a_490,沈北新银川街H座 526235,s_19284
a_491,六枝特彭街d座 499930,s_232226
a_492,梁平姜路h座 580173,s_616445
a_493,兴山大冶路X座 197525,s_409857
a_494,清河昆明街R座 408601,s_413878
a_495,兴山温路g座 916951,s_48675
a_496,涪城兴安盟路W座 396632,s_211584
a_497,闵行张街l座 337723,s_269227
a_498,清浦辽阳路a座 993278,s_425884
a_499,崇文合山街D座 260089,s_254132
a_500,沙湾成都路k座 518130,s_521334
a_501,秀英郑路t座 713515,s_326752
a_502,六枝特张路H座 947887,s_341072
a_503,大东韩街j座 677293,s_2921
a_504,沙湾谭街D座 606381,s_560351
a_505,长寿单路M座 616486,s_136322
a_506,海港范街E座 135035,s_54611
a_507,海港高街e座 759815,s_31009
a_508,长寿北京街w座 492182,s_133713
a_509,海陵沈阳路C座 674571,s_651755
a_510,高明马街t座 599031,s_208390
a_511,合川王路u座 719089,s_548498
a_512,海港荆门街S座 928613,s_657207
a_513,牧野贵阳街J座 318729,s_363380
a_514,房山唐街B座 838135,s_152085
a_515,沙湾胡路L座 199764,s_226053
a_516,清河胡路g座 559006,s_169455
a_517,秀英薛街o座 409121,s_369239
a_518,涪城六安街d座 788035,s_594216
a_519,丰都西安街S座 101974,s_197736
a_520,花溪汕尾路A座 293907,s_319047
a_521,城北周路n座 791789,s_399023
a_522,朝阳六盘水街K座 181927,s_543805
a_523,合川周路p座 991853,s_97520
a_524,永川拉萨街S座 690634,s_634977
a_525,山亭北镇路N座 682285,s_185555
a_526,普陀倪路Q座 713208,s_251010
a_527,南湖香港街v座 695555,s_200900
a_528,怀柔陈街Z座 463867,s_168159
a_529,友好夏街K座 681202,s_268726
a_530,牧野常街l座 529364,s_319466
a_531,城北王路I座 643485,s_649428
a_532,孝南沈阳街S座 882396,s_663399
a_533,龙潭南昌路i座 448280,s_530340
a_534,花溪袁街t座 848182,s_3129
a_535,兴山银川街P座 867048,s_387459
a_536,长寿荆门街L座 963676,s_287421
a_537,长寿邵路S座 603011,s_208413
a_538,蓟州何路U座 604192,s_555291
a_539,秀英王路X座 332821,s_71010
a_540,城北杨路t座 871718,s_318792
a_541,台北路H座 948388,s_71573
a_542,梁平赖街X座 969336,s_556744
a_543,陈街O座 127259,s_537741
a_544,海陵潜江路a座 916714,s_309236
a_545,高港深圳街b座 919765,s_254112
a_546,花溪赵路t座 659866,s_519084
a_547,华龙王街h座 290954,s_49647
a_548,高坪宁德路j座 809630,s_201454
a_549,锡山兴城路F座 135973,s_216726
a_550,东城高街A座 905404,s_119768
a_551,魏都陈路b座 524201,s_545301
a_552,锡山福州街j座 636885,s_186695
a_553,崇文佛山街g座 410762,s_458158
a_554,西夏张街p座 953038,s_78639
a_555,静安刘路h座 423641,s_116048
a_556,龙潭哈尔滨路z座 835157,s_387722
a_557,白云左路b座 276556,s_628492
a_558,江北王路K座 656701,s_432478
a_559,丰都葛路B座 678860,s_421793
a_560,西峰兴安盟街h座 204506,s_46541
a_561,西夏大冶街H座 656827,s_248924
a_562,城东长沙路W座 380393,s_193801
a_563,涪城周街k座 529887,s_40940
a_564,静安沈路e座 533191,s_86231
a_565,清河陶街x座 121355,s_496240
a_566,长寿昆明路H座 642302,s_465808
a_567,浔阳南昌街w座 154864,s_594587
a_568,锡山张路M座 526842,s_7568
a_569,六枝特石家庄街y座 398408,s_281658
a_570,白云拉萨路c座 156090,s_325668
a_571,静安沈阳路z座 523627,s_605083
a_572,安次祝街n座 159232,s_631330
a_573,浔阳刘路D座 442134,s_40869
a_574,高明严街L座 966367,s_585060
a_575,房山毕街l座 313084,s_556761
a_576,和平长沙路d座 834852,s_162077
a_577,门头沟深圳街f座 733089,s_20035
a_578,怀柔马街W座 112901,s_403750
a_579,合川姜街Y座 109350,s_513789
a_580,黄浦王街q座 185112,s_418436
a_581,合川葛路q座 312253,s_104779
a_582,南湖陈路x座 617460,s_393396
a_583,梁平澳门街h座 618552,s_608102
a_584,新城杭州街O座 942882,s_98684
a_585,永川北京路t座 141856,s_191843
a_586,沈河嘉禾路e座 533152,s_61678
a_587,蓟州济南街K座 317458,s_413854
a_588,白云汪街d座 698731,s_303768
a_589,大兴六安街Z座 631608,s_236301
a_590,西峰葛街N座 899133,s_478583
a_591,沈北新刘路R座 863998,s_233569
a_592,龙潭荆门街g座 228713,s_663355
a_593,龙潭通辽街r座 902104,s_549635
a_594,永川阮路S座 792865,s_427248
a_595,徐汇张街b座 191077,s_466312
a_596,璧山哈尔滨路R座 844075,s_541647
a_597,双滦太原路X座 949445,s_389275
a_598,淄川宫路X座 101349,s_344657
a_599,孝南崔街Q座 235086,s_422787
a_600,清城梁路E座 398063,s_62109
a_601,山亭马鞍山街t座 507604,s_666745
a_602,徐汇康路u座 694535,s_507242
a_603,淄川潘路F座 604930,s_534236
a_604,上海路v座 969562,s_313706
a_605,长寿冷路Y座 280363,s_360188
a_606,静安孙路F座 691284,s_596435
a_607,牧野合山街V座 840803,s_15001
a_608,长寿宁德路r座 322127,s_433868
a_609,和平巢湖路j座 240091,s_140214
a_610,闵行廖路S座 673163,s_199747
a_611,静安陆路I座 920445,s_615985
a_612,徐汇郑州路B座 280101,s_167871
a_613,南溪海口街F座 565020,s_449852
a_614,江北宜都街l座 536755,s_153597
a_615,徐汇吕街A座 181147,s_660493
a_616,魏都永安街c座 549515,s_508406
a_617,新城福州街H座 783189,s_389649
a_618,怀柔周街x座 297285,s_378649
a_619,清河梅路h座 353008,s_334943
a_620,魏都王路Z座 139877,s_425943
a_621,龙潭永安街N座 640091,s_262755
a_622,高坪福州路o座 184043,s_107146
a_623,平山刘路v座 810179,s_667062
a_624,新城长春街j座 909517,s_640562
a_625,魏都张路Z座 238938,s_135893
a_626,普陀黄路S座 390212,s_322763
a_627,平山上海路u座 835149,s_536211
a_628,合川时路o座 305430,s_597269
a_629,南长孙街v座 478662,s_180934
a_630,金平拉萨路w座 520387,s_445995
a_631,大兴南昌路C座 421834,s_407444
a_632,花溪深圳街R座 654638,s_174479
a_633,牧野左路m座 525943,s_103096
a_634,永川兰街z座 805622,s_593940
a_635,魏都阳路R座 170239,s_233484
a_636,淄川刘路j座 727768,s_438903
a_637,崇文匡街I座 471708,s_573384
a_638,淄川孙街h座 146660,s_446370
a_639,和平海口街Q座 916517,s_613203
a_640,吉区天津街v座 921896,s_186280
a_641,金平巢湖街D座 689389,s_59816
a_642,江北郑街j座 582826,s_72764
a_643,永川陈路J座 668779,s_471242
a_644,南湖傅路s座 334484,s_448999
a_645,清城曾路u座 562690,s_221589
a_646,和平佛山街O座 601756,s_272963
a_647,长寿莫街m座 639442,s_342062
a_648,清城钟路d座 810421,s_147945
a_649,新城合山街o座 755664,s_63171
a_650,山亭通辽路m座 864704,s_101945
a_651,浔阳哈尔滨路t座 137597,s_572475
a_652,东丽王路w座 196442,s_398090
a_653,牧野沈阳街j座 571614,s_400021
a_654,江北六盘水路S座 821781,s_570123
a_655,南溪林路b座 387477,s_491962
a_656,锡山李路r座 928845,s_591966
a_657,秀英潜江街y座 166394,s_518510
